ID,Book_length(mins)_overall,Book_length(mins)_avg,Price_overall,Price_avg,Review,Review10/10,Minutes_listened,Completion,Support_requests,Last_visited_minus_purchase_date,Targets,predicted_target
2300,2160.0,2160,10.13,10.13,0,8.91,0.1,216.0,0,6,0,0
3627,1620.0,1620,11.35,11.35,0,8.91,0.53,858.6,0,9,0,0
3909,2160.0,2160,5.33,5.33,0,8.91,0.81,1749.6,0,64,0,0
5580,2160.0,2160,5.33,5.33,1,10.0,0.0,0.0,0,28,1,1
7103,1620.0,1620,6.11,6.11,0,8.91,0.08,129.6,0,329,0,0
9200,2160.0,2160,10.13,10.13,1,9.0,0.13,280.8,0,243,0,0
9755,2160.0,2160,13.45,13.45,0,8.91,0.16,345.6,0,3,0,0
9972,648.0,648,9.77,9.77,0,8.91,0.0,0.0,0,0,0,1
11591,2160.0,2160,5.33,5.33,1,7.0,0.3,648.0,0,89,0,0
13079,324.0,324,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
13496,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
15561,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,119,0,1
15739,1620.0,1620,12.8,12.8,0,8.91,0.41,664.2,1,148,0,0
19547,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0,346,1,1
19753,2160.0,2160,9.77,9.77,0,8.91,0.08,172.8,0,0,0,0
21896,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0,62,0,1
21991,1080.0,1080,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
22756,540.0,540,10.13,10.13,0,8.91,0.58,313.2,0,4,0,0
22887,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
26439,2160.0,2160,104.0,104.0,0,8.91,0.0,0.0,0,0,0,1
27278,1620.0,1620,5.33,5.33,0,8.91,0.28,453.6,0,0,0,0
27395,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0,0,0,1
29290,1080.0,1080,12.8,12.8,0,8.91,0.74,799.2,1,17,0,0
30116,2160.0,2160,5.33,5.33,0,8.91,0.34,734.4,0,210,0,0
30363,324.0,324,10.13,10.13,0,8.91,0.0,0.0,0,0,0,0
33158,2160.0,2160,10.13,10.13,0,8.91,0.89,1922.4,0,10,0,0
873,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0,0,1,1
1713,1080.0,1080,7.87,7.87,0,8.91,0.0,0.0,0,45,0,1
1807,324.0,324,10.13,10.13,0,8.91,0.86,278.64,1,17,0,0
2388,1620.0,1620,10.13,10.13,0,8.91,0.68,1101.6,1,301,0,0
3580,2160.0,2160,7.08,7.08,0,8.91,0.08,172.8,0,109,0,0
3968,2160.0,2160,5.33,5.33,0,8.91,0.01,21.6,0,355,0,1
4365,648.0,648,19.73,19.73,0,8.91,0.0,0.0,0,0,0,1
4422,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,74,0,1
5077,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
5082,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0,0,0,1
7530,2160.0,2160,10.13,10.13,1,8.0,0.0,0.0,0,251,1,1
10959,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
11215,324.0,324,10.13,10.13,0,8.91,0.0,0.0,0,0,0,0
11582,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,152,1,1
13093,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
14182,1620.0,1620,5.33,5.33,0,8.91,0.09,145.8,0,104,0,0
14549,2160.0,2160,5.33,5.33,0,8.91,0.04,86.4,0,28,0,1
18398,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,51,0,1
19277,2160.0,2160,5.97,5.97,0,8.91,0.02,43.2,0,72,0,1
20203,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
21947,2160.0,2160,4.1,4.1,0,8.91,0.0,0.0,0,0,0,1
22903,1080.0,1080,10.13,10.13,1,8.0,1.0,1080.0,0,111,0,0
27449,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
27951,1620.0,1620,10.13,10.13,0,8.91,0.05,81.0,0,22,0,0
30204,1890.0,3780,10.13,20.27,0,8.91,0.0,0.0,0,251,1,1
30674,1242.0,2484,5.33,10.67,0,8.91,0.0,0.0,0,101,1,1
31893,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0,353,0,1
33185,2160.0,2160,25.6,25.6,0,8.91,0.03,64.8,0,0,0,1
558,648.0,648,10.13,10.13,1,8.0,0.65,421.2,0,134,0,0
611,1404.0,2808,6.66,13.33,1,6.5,0.0,0.0,0,182,1,1
3709,324.0,324,8.0,8.0,1,10.0,0.84,272.16,0,0,0,0
5780,1080.0,1080,5.33,5.33,0,8.91,0.0,0.0,0,19,0,1
6226,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
6377,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
6761,2160.0,2160,6.11,6.11,1,10.0,0.14,302.4,0,146,0,0
6931,2160.0,2160,10.13,10.13,1,5.0,0.38,820.8,0,357,0,0
7266,1620.0,1620,4.1,4.1,0,8.91,0.35,567.0,0,92,0,0
8447,2160.0,2160,9.66,9.66,0,8.91,0.0,0.0,0,0,0,1
13101,1620.0,1620,7.74,7.74,0,8.91,0.9,1458.0,0,72,0,0
14577,1080.0,1080,19.73,19.73,0,8.91,0.0,0.0,0,5,0,1
16514,1620.0,1620,5.33,5.33,0,8.91,0.02,32.4,0,214,0,1
17318,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,17,1,1
17585,1188.0,4752,9.84,39.36,1,9.4,0.0,0.0,0,374,1,1
19364,1080.0,1080,7.96,7.96,1,8.0,0.99,1069.2,0,116,0,0
21381,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,1,0,1
21477,2160.0,2160,5.33,5.33,1,6.0,0.04,86.4,0,220,0,1
22033,648.0,648,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
22544,1620.0,1620,10.13,10.13,0,8.91,0.12,194.4,0,0,0,0
23164,648.0,648,5.33,5.33,1,10.0,0.0,0.0,0,0,0,1
24108,2160.0,2160,10.13,10.13,1,5.0,0.0,0.0,0,0,0,1
24151,648.0,648,9.66,9.66,0,8.91,0.33,213.84,0,0,0,0
24560,1620.0,1620,5.33,5.33,1,6.5,0.0,0.0,1,330,1,1
24683,2160.0,2160,10.13,10.13,1,8.0,1.0,2160.0,0,291,0,0
24727,648.0,648,10.13,10.13,0,8.91,0.16,103.68,0,0,0,0
24818,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0,110,1,1
27203,1116.0,3348,9.56,28.69,0,8.91,0.0,0.0,0,0,1,1
27456,1620.0,1620,7.74,7.74,1,8.0,0.42,680.4,0,352,0,0
27753,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0,91,1,1
28103,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,356,1,1
31345,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
31358,2160.0,2160,10.13,10.13,1,9.0,0.39,842.4,0,56,0,0
33391,1620.0,1620,9.77,9.77,0,8.91,0.06,97.2,0,375,0,0
678,2160.0,2160,8.0,8.0,0,8.91,0.58,1252.8,0,138,0,0
4849,2160.0,2160,6.11,6.11,0,8.91,0.0,0.0,0,0,0,1
5564,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0,19,1,1
5934,648.0,648,8.0,8.0,0,8.91,0.0,0.0,0,0,0,1
6111,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
7050,2160.0,2160,11.35,11.35,0,8.91,0.0,0.0,0,0,0,1
7562,648.0,648,8.0,8.0,0,8.91,0.0,0.0,0,45,1,1
8441,1476.0,4428,10.84,32.53,1,10.0,0.0,0.0,0,8,1,1
10630,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
10977,1620.0,1620,10.13,10.13,0,8.91,0.8,1296.0,1,52,0,0
11502,648.0,648,10.13,10.13,1,9.0,0.48,311.04,0,104,0,0
11684,648.0,648,7.99,7.99,0,8.91,0.29,187.92,0,31,0,0
11894,2160.0,2160,5.33,5.33,0,8.91,0.33,712.8,0,333,0,0
12719,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
13806,2160.0,2160,12.8,12.8,0,8.91,0.24,518.4,0,5,0,0
14077,1620.0,1620,9.77,9.77,1,8.0,0.3,486.0,0,2,0,0
14811,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,85,1,1
15138,1620.0,1620,22.1,22.1,1,8.0,0.14,226.8,0,313,0,0
16505,2160.0,2160,10.13,10.13,0,8.91,0.02,43.2,0,162,0,1
17290,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
17947,684.0,2052,5.78,17.34,1,9.0,0.0,0.0,0,326,1,1
18307,2160.0,2160,8.0,8.0,0,8.91,0.0,0.0,0,0,0,1
19134,2160.0,2160,5.33,5.33,0,8.91,0.45,972.0,0,43,0,0
19493,540.0,540,10.07,10.07,0,8.91,0.5,270.0,0,95,0,0
20971,1080.0,1080,8.0,8.0,0,8.91,0.0,0.0,0,0,0,1
24567,2160.0,2160,5.33,5.33,0,8.91,0.07,151.2,0,290,0,0
24867,2160.0,2160,5.33,5.33,0,8.91,0.02,43.2,0,58,0,1
24879,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
29826,2160.0,2160,5.33,5.33,0,8.91,0.34,734.4,0,330,0,0
29999,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,12,0,1
33304,2160.0,2160,25.6,25.6,1,10.0,0.57,1231.2,0,54,0,0
604,1620.0,1620,8.96,8.96,0,8.91,0.09,145.8,0,0,0,0
1201,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0,0,1,1
9568,1620.0,1620,7.74,7.74,0,8.91,0.0,0.0,0,117,1,1
14006,1080.0,1080,10.13,10.13,0,8.91,0.18,194.4,0,27,0,0
16160,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
16341,1620.0,1620,7.74,7.74,0,8.91,0.19,307.8,0,60,0,0
20068,2160.0,2160,10.62,10.62,1,10.0,0.0,0.0,0,0,0,1
25051,1620.0,1620,10.13,10.13,0,8.91,0.02,32.4,0,323,0,1
25937,2160.0,2160,5.33,5.33,0,8.91,0.03,64.8,0,333,0,1
3327,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0,0,0,1
5701,2160.0,2160,8.0,8.0,0,8.91,0.0,0.0,0,0,0,1
5943,648.0,648,7.74,7.74,0,8.91,0.0,0.0,0,39,0,1
6091,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,105,0,1
6711,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
7208,2160.0,2160,7.74,7.74,0,8.91,0.0,0.0,0,266,0,1
7971,1620.0,1620,13.45,13.45,1,8.0,0.43,696.6,0,218,0,0
8832,1080.0,1080,10.13,10.13,0,8.91,0.0,0.0,0,147,1,1
9034,324.0,324,10.13,10.13,0,8.91,0.0,0.0,0,0,0,0
11171,1080.0,1080,8.0,8.0,0,8.91,0.02,21.6,0,0,0,1
12501,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,247,1,1
12590,2160.0,2160,8.0,8.0,0,8.91,0.05,108.0,0,94,0,1
12844,2160.0,2160,25.6,25.6,0,8.91,0.09,194.4,0,7,0,0
14120,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
15669,1620.0,1620,7.74,7.74,1,8.0,0.42,680.4,0,240,0,0
17549,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,366,1,1
18413,2160.0,2160,5.33,5.33,0,8.91,0.1,216.0,0,349,0,0
18592,1620.0,1620,7.87,7.87,1,10.0,0.0,0.0,0,0,0,1
20099,2160.0,2160,5.33,5.33,1,10.0,0.07,151.2,0,19,0,0
20147,1620.0,1620,7.74,7.74,0,8.91,0.16,259.2,0,34,0,0
22456,2160.0,2160,10.13,10.13,1,10.0,0.0,0.0,0,34,1,1
25754,648.0,648,7.99,7.99,0,8.91,0.02,12.96,0,53,0,1
26667,2160.0,2160,25.6,25.6,0,8.91,0.26,561.6,2,97,0,0
26813,648.0,648,10.13,10.13,0,8.91,0.43,278.64,0,49,0,0
27121,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0,0,0,1
28243,540.0,540,10.13,10.13,0,8.91,0.64,345.6,0,117,0,0
29014,1674.0,3348,5.16,10.33,0,8.91,0.0,0.0,0,250,1,1
29048,648.0,648,8.0,8.0,0,8.91,0.09,58.32,0,0,0,0
29374,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0,0,0,1
31180,1620.0,1620,8.0,8.0,0,8.91,0.0,0.0,0,11,0,1
74,2160.0,2160,8.0,8.0,0,8.91,0.0,0.0,0,280,0,1
137,2160.0,2160,8.0,8.0,1,9.0,0.16,345.6,0,199,0,0
469,540.0,540,7.74,7.74,0,8.91,0.04,21.6,0,12,0,0
596,1620.0,1620,8.0,8.0,0,8.91,0.03,48.6,0,108,0,1
929,648.0,648,8.0,8.0,0,8.91,0.0,0.0,0,0,0,1
1103,648.0,648,10.13,10.13,1,10.0,0.89,576.72,0,244,0,0
3093,1080.0,1080,8.0,8.0,0,8.91,0.0,0.0,0,0,0,1
3677,2160.0,2160,8.0,8.0,0,8.91,0.0,0.0,0,0,0,1
4596,2160.0,2160,10.13,10.13,1,8.0,0.68,1468.8,0,367,0,0
5029,2160.0,2160,5.33,5.33,1,10.0,0.25,540.0,0,54,0,0
5549,1620.0,1620,10.98,10.98,0,8.91,0.0,0.0,1,301,1,1
5735,2160.0,2160,13.33,13.33,0,8.91,0.27,583.2,0,51,0,0
6388,2160.0,2160,10.13,10.13,0,8.91,0.03,64.8,0,25,0,1
6738,2160.0,2160,8.62,8.62,0,8.91,0.02,43.2,0,10,0,1
8333,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0,329,1,1
8566,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
8995,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0,0,0,1
9508,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0,0,1,1
9623,2160.0,2160,5.33,5.33,1,6.0,0.0,0.0,0,0,1,1
10304,2160.0,2160,7.96,7.96,0,8.91,0.07,151.2,0,248,0,0
11745,324.0,324,8.0,8.0,0,8.91,0.0,0.0,0,0,0,1
11849,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
11941,2160.0,2160,7.96,7.96,0,8.91,0.08,172.8,0,7,0,0
13879,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0,2,0,1
15212,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,1,1
15718,1080.0,1080,8.0,8.0,0,8.91,0.12,129.6,0,339,0,0
16156,324.0,324,10.13,10.13,0,8.91,0.0,0.0,0,0,0,0
16224,2160.0,2160,5.33,5.33,0,8.91,0.45,972.0,0,162,0,0
17740,324.0,324,10.13,10.13,0,8.91,0.0,0.0,0,0,1,0
18806,324.0,324,50.67,50.67,0,8.91,0.0,0.0,0,0,1,1
20866,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,3,0,1
21020,1890.0,3780,6.67,13.33,0,8.91,0.0,0.0,0,0,1,1
21082,1620.0,1620,7.99,7.99,0,8.91,0.0,0.0,0,6,0,1
21244,1620.0,1620,11.35,11.35,0,8.91,0.4,648.0,0,27,0,0
22207,648.0,648,10.13,10.13,0,8.91,0.0,0.0,0,95,0,1
23567,648.0,648,8.0,8.0,0,8.91,0.86,557.28,0,47,0,0
23811,1620.0,1620,10.13,10.13,0,8.91,0.58,939.6,0,36,0,0
25446,648.0,648,8.0,8.0,0,8.91,0.94,609.12,0,69,0,0
26881,324.0,324,8.0,8.0,0,8.91,0.0,0.0,0,0,0,1
30064,648.0,648,8.0,8.0,1,9.0,1.0,648.0,0,130,0,0
30566,1620.0,1620,10.62,10.62,1,10.0,0.0,0.0,0,69,1,1
31510,2160.0,2160,7.74,7.74,0,8.91,0.0,0.0,0,212,1,1
705,324.0,324,10.13,10.13,1,9.0,0.0,0.0,1,334,1,1
4108,1674.0,3348,5.33,10.66,0,8.91,0.0,0.0,0,119,1,1
6928,540.0,540,10.13,10.13,0,8.91,0.04,21.6,0,9,0,0
7228,324.0,324,8.0,8.0,0,8.91,0.0,0.0,0,0,0,1
7459,1656.0,4968,8.53,25.6,0,10.0,0.0,0.0,0,3,1,1
8951,648.0,648,19.73,19.73,0,8.91,0.08,51.84,0,1,0,0
10275,1002.857143,7020,6.61,46.28,0,8.91,0.0,0.0,0,77,1,1
10852,1152.0,3456,9.24,27.73,0,8.91,0.0,0.0,2,98,1,1
13619,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,0,0,1
13956,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0,20,0,1
15643,1620.0,1620,24.36,24.36,1,9.0,0.3,486.0,0,293,0,0
16686,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0,2,1,1
19454,1080.0,1080,7.96,7.96,1,10.0,0.22,237.6,0,113,0,0
20045,1620.0,1620,10.13,10.13,0,8.91,0.23,372.6,0,0,0,0
21773,1620.0,1620,10.98,10.98,0,8.91,0.89,1441.8,1,271,0,0
22146,1080.0,1080,10.13,10.13,1,10.0,1.0,1080.0,0,234,0,0
24236,2160.0,2160,9.66,9.66,0,8.91,0.34,734.4,0,295,0,0
26618,1620.0,1620,10.13,10.13,1,6.0,0.56,907.2,0,23,0,0
26656,648.0,648,10.13,10.13,0,8.91,1.0,648.0,0,3,0,0
27110,1620.0,1620,12.8,12.8,1,10.0,0.92,1490.4,1,146,0,0
28398,324.0,324,10.18,10.18,0,8.91,0.0,0.0,0,0,1,0
28506,1674.0,3348,6.7,13.41,0,10.0,0.0,0.0,0,299,1,1
29159,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0,1,0,1
29204,1080.0,1080,10.13,10.13,0,8.91,0.18,194.4,0,0,0,0
29460,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0,0,0,1
31346,2160.0,2160,9.77,9.77,0,8.91,0.03,64.8,0,16,0,1
774,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0,309,0,1
1252,1620.0,1620,10.13,10.13,0,8.91,0.31,502.2,0,366,0,0
3371,1404.0,2808,7.73,15.46,1,9.0,0.0,0.0,0,227,1,1
6280,1620.0,1620,10.13,10.13,0,8.91,0.14,226.8,0,79,0,0
7696,648.0,648,12.8,12.8,0,8.91,0.0,0.0,1,27,1,1
7763,1620.0,1620,10.13,10.13,0,8.91,0.32,518.4,0,5,0,0
12780,2160.0,2160,12.8,12.8,1,10.0,0.8,1728.0,0,62,0,0
14554,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0,0,1,1
16543,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0,364,0,1
16925,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0,13,0,1
31416,2160.0,2160,25.6,25.6,0,8.91,0.06,129.6,0,17,0,1
32101,2160.0,2160,4.1,4.1,1,10.0,0.35,756.0,0,371,0,0
33341,2160.0,2160,10.13,10.13,0,8.91,0.24,518.4,0,369,0,0
3791,1188.0,3564,13.33,39.99,0,10.0,0.0,0.0,0,236,1,1
6574,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0,0,0,1
10894,1620.0,1620,19.73,19.73,0,8.91,0.4,648.0,0,349,0,0
11051,2160.0,2160,5.88,5.88,1,5.0,0.17,367.2,0,28,0,0
11386,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0,293,1,1
11454,1620.0,1620,15.47,15.47,0,8.91,0.08,129.6,0,368,0,0
11803,1134.0,2268,8.42,16.85,0,8.91,0.0,0.0,0,351,1,1
12548,1620.0,1620,10.13,10.13,0,8.91,0.09,145.8,0,0,0,0
